Node,Degree,Betweenness,Closeness,Type
Web3 / DeFi,0.13043478260869565,0.07729468599033816,0.15778401122019636,Organization
NFT / Art,0.10869565217391304,0.04830917874396135,0.11930010604453871,Organization
e/acc / extropic,0.10869565217391304,0.025120772946859903,0.11005434782608696,Organization
Meme / Attention,0.10869565217391304,0.017391304347826087,0.10652173913043478,Organization
Hardware / Fabrication,0.08695652173913043,0.005797101449275362,0.08695652173913043,Organization
X / Twitter,0.08695652173913043,0.005797101449275362,0.08695652173913043,Organization
AI / Research,0.08695652173913043,0.020289855072463767,0.09782608695652174,Organization
DAO / Media,0.08695652173913043,0.03768115942028986,0.10869565217391304,Organization
@0xChromuh,0.043478260869565216,0.04830917874396135,0.13975155279503104,Account
@PoopVoid,0.043478260869565216,0.00966183574879227,0.08876811594202899,Account
Nous / Symbolic AI,0.043478260869565216,0.005797101449275362,0.06657608695652174,Organization
@bonafidehan,0.043478260869565216,0.042512077294685986,0.13219741480611047,Account
@deepfates,0.043478260869565216,0.01932367149758454,0.11005434782608696,Account
Academia / Policy,0.043478260869565216,0.000966183574879227,0.043478260869565216,Organization
@mjboswell,0.021739130434782608,0.0,0.049689440993788817,Account
@0xdiid,0.021739130434782608,0.0,0.10869565217391304,Account
@ropirito,0.021739130434782608,0.0,0.048418972332015815,Account
@drydenwtbrown,0.021739130434782608,0.0,0.07336956521739131,Account
@davidtphung,0.021739130434782608,0.0,0.07336956521739131,Account
@beffjezos,0.021739130434782608,0.0,0.07336956521739131,Account
@nikitabier,0.021739130434782608,0.0,0.049689440993788817,Account
@kache,0.021739130434782608,0.0,0.049689440993788817,Account
@IcoBeast,0.021739130434782608,0.0,0.10869565217391304,Account
@Miguelpf,0.021739130434782608,0.0,0.10869565217391304,Account
@josephdelong,0.021739130434782608,0.0,0.10869565217391304,Account
@chrisparkX,0.021739130434782608,0.0,0.049689440993788817,Account
@funghibull,0.021739130434782608,0.0,0.08893280632411067,Account
@WilliamLamkin,0.021739130434782608,0.0,0.0677257525083612,Account
@kmoney,0.021739130434782608,0.0,0.06657608695652174,Account
@bryanbrinkman,0.021739130434782608,0.0,0.08893280632411067,Account
