"Expiration Date","Exp Type",DTE,"Put Vol","Call Vol","Total Vol","Put/Call	Vol","Put OI","Call OI","Total OI","Put/Call OI","Implied Volatility"
2026-03-20,monthly,4,7149,29150,36299,0.2452,43116,164306,207422,0.2624,49.02%
2026-03-27,weekly,11,1191,6173,7364,0.1929,17056,42217,59273,0.404,57.64%
2026-04-02,weekly,17,157,3562,3719,0.0441,2219,10533,12752,0.2107,52.25%
2026-04-10,weekly,25,75,478,553,0.1569,1351,16781,18132,0.0805,53.82%
2026-04-17,monthly,32,641,6370,7011,0.1006,61162,175637,236799,0.3482,51.13%
2026-04-24,weekly,39,34,327,361,0.104,535,3919,4454,0.1365,49.41%
2026-05-01,weekly,46,15,1296,1311,0.0116,69,450,519,0.1533,55.33%
2026-06-18,monthly,94,106,2016,2122,0.0526,36763,90189,126952,0.4076,59.48%
2026-07-17,monthly,123,11,164,175,0.0671,2831,18314,21145,0.1546,54.24%
2026-09-18,monthly,186,0,52,52,0,1322,10375,11697,0.1274,61.80%
2026-10-16,monthly,214,68,428,496,0.1589,12765,46524,59289,0.2744,63.66%
2026-12-18,monthly,277,4,196,200,0.0204,1893,5302,7195,0.357,65.56%
2027-01-15,monthly,305,2,225,227,0.0089,38782,98842,137624,0.3924,63.95%
2027-09-17,monthly,550,2,269,271,0.0074,3365,10049,13414,0.3349,55.44%
2027-12-17,monthly,641,251,1289,1540,0.1947,25249,24317,49566,1.0383,67.27%
2028-01-21,monthly,676,897,1284,2181,0.6986,47975,64571,112546,0.743,0.00%
2028-06-16,monthly,823,4,8,12,0.5,2060,11434,13494,0.1802,70.25%
2028-12-15,monthly,1005,10,32,42,0.3125,735,13179,13914,0.0558,0.00%
"Downloaded from Barchart.com as of 03-16-2026 10:25am CDT"
