Symbol,Price~,"Exp Date",DTE,Type,Strike,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,Delta,"Date On List"
GME,23.53,2026-04-24,41,Call,24,1.44,1.52,1.57,581,136,4.27,0.488022,2026-03-13
GME,23.53,2026-03-27,13,Put,24,1.16,1.27,1.32,939,570,1.65,-0.555128,2026-03-13
GME,23.53,2026-03-27,13,Call,23.5,0.92,1.01,1.11,1816,832,2.18,0.522436,2026-03-13
GME,23.53,2026-03-20,6,Call,24.5,0.22,0.23,0.25,8674,2232,3.89,0.266085,2026-03-13
GME,23.53,2026-03-20,6,Put,24,0.76,0.8,0.81,4215,2659,1.59,-0.631091,2026-03-13
GME,23.53,2026-03-20,6,Put,23.5,0.47,0.52,0.53,2651,1005,2.64,-0.482267,2026-03-13
GME,23.53,2026-03-20,6,Call,23.5,0.54,0.57,0.58,6248,1636,3.82,0.517706,2026-03-13
GME,24.43,2026-03-27,14,Call,28,0.25,0.28,0.27,4502,1419,3.17,0.162788,2026-03-12
GME,24.46,2026-03-27,16,Call,23,1.73,1.76,2.08,868,687,1.26,0.762839,2026-03-11
GME,24.46,2026-03-20,9,Call,24.5,0.58,0.61,0.66,3026,1135,2.67,0.499508,2026-03-11
GME,24.46,2026-03-20,9,Call,23.5,1.03,1.07,1.34,1032,827,1.25,0.81037,2026-03-11
GME,24.37,2026-03-20,9,Call,27.5,0.05,0.11,0.17,874,170,5.14,0.104981,2026-03-10
GME,24.37,2026-03-20,9,Call,24.5,0.69,0.8,0.79,1078,804,1.34,0.488155,2026-03-10
GME,24.37,2026-03-13,2,Put,26,1.64,1.68,1.7,999,157,6.36,-0.910083,2026-03-10
GME,24.37,2026-03-13,2,Put,24.5,0.43,0.48,0.49,1754,1104,1.59,-0.543053,2026-03-10
GME,24.8,2026-04-10,32,Call,30,0.39,0.43,0.45,1335,321,4.16,0.181348,2026-03-09
GME,24.8,2026-03-27,18,Put,21,0.19,0.2,0.25,855,261,3.28,-0.109702,2026-03-09
GME,24.8,2026-03-20,11,Call,24.5,0.97,1.06,1.02,783,466,1.68,0.569962,2026-03-09
GME,24.8,2026-03-20,11,Put,21.5,0.09,0.11,0.17,1008,433,2.33,-0.085432,2026-03-09
GME,24.8,2026-03-13,4,Call,26.5,0.09,0.1,0.11,2099,1423,1.48,0.137414,2026-03-09
GME,24.8,2026-03-13,4,Call,26,0.14,0.14,0.15,12963,7941,1.63,0.194912,2026-03-09
GME,24.8,2026-03-13,4,Call,25.5,0.22,0.23,0.25,5968,2374,2.51,0.297798,2026-03-09
GME,24.8,2026-03-13,4,Put,24.5,0.32,0.32,0.35,1624,403,4.03,-0.388601,2026-03-09
GME,24.37,2026-04-17,41,Put,20,0.3,0.32,0.32,10493,5430,1.93,-0.128211,2026-03-06
GME,24.37,2026-04-10,34,Call,35,0.22,0.25,0.29,3849,397,9.7,0.095189,2026-03-06
GME,24.37,2026-03-13,6,Call,26.5,0.15,0.17,0.19,1283,493,2.6,0.164788,2026-03-06
GME,24.37,2026-03-13,6,Call,25.5,0.23,0.27,0.31,2269,975,2.33,0.268333,2026-03-06
GME,24.37,2026-03-13,6,Put,25,0.84,0.98,1.07,2087,298,7,-0.650652,2026-03-06
GME,24.37,2026-03-13,6,Call,25,0.35,0.38,0.39,11694,5896,1.98,0.359658,2026-03-06
GME,24.37,2026-03-13,6,Call,24.5,0.52,0.54,0.54,8944,4015,2.23,0.475895,2026-03-06
GME,24.37,2026-03-13,6,Put,24,0.38,0.39,0.4,3657,610,6,-0.385856,2026-03-06
GME,24.37,2026-03-13,6,Call,24,0.76,0.79,0.79,11945,4575,2.61,0.607916,2026-03-06
GME,24.37,2026-03-13,6,Put,23.5,0.18,0.22,0.23,3035,1175,2.58,-0.255198,2026-03-06
GME,24.37,2026-03-13,6,Call,23.5,1.02,1.11,1.14,5563,2008,2.77,0.733246,2026-03-06
GME,24.37,2026-03-13,6,Call,23,1.42,1.51,1.65,3879,1747,2.22,0.82668,2026-03-06
GME,24.37,2026-03-13,6,Call,22,2.28,2.5,2.49,1135,276,4.11,0.964936,2026-03-06
GME,23.88,2027-12-17,652,Call,27,6,6.39,7.3,3235,1408,2.3,0.563027,2026-03-05
GME,23.88,2026-03-13,8,Call,23.5,0.76,0.78,0.83,2173,1089,2,0.612099,2026-03-05
GME,23.87,2027-12-17,653,Call,27,6,6.29,7.3,1170,372,3.15,0.559967,2026-03-04
GME,23.82,2026-03-20,17,Call,23.5,1.1,1.19,1.25,734,361,2.03,0.566183,2026-03-03
GME,24.2,2026-03-06,4,Call,25.5,0.1,0.11,0.12,7213,2701,2.67,0.16601,2026-03-02
GME,24.2,2026-03-06,4,Put,25,0.94,1,1.01,1120,453,2.47,-0.732838,2026-03-02
GME,24.2,2026-03-06,4,Put,23.5,0.19,0.2,0.22,3034,1475,2.06,-0.268531,2026-03-02
GME,24.03,2026-03-13,13,Call,24.5,0.55,0.57,0.59,1801,867,2.08,0.41803,2026-02-27
GME,24.03,2026-03-13,13,Put,22,0.1,0.12,0.16,1507,327,4.61,-0.124061,2026-02-27
GME,24.03,2026-03-13,13,Call,21.5,2.41,2.55,2.82,817,281,2.91,0.956212,2026-02-27
