Account_A,Account_B,Shared_Count,Weight
@0xChromuh,@0xdiid,1,1
@0xChromuh,@Eli_schein,1,1
@0xChromuh,@IcoBeast,1,1
@0xChromuh,@Miguelpf,1,1
@0xChromuh,@alessio_joseph,1,1
@0xChromuh,@bonafidehan,1,1
@0xChromuh,@bryanbrinkman,1,1
@0xChromuh,@funghibull,1,1
@0xChromuh,@josephdelong,1,1
@0xdiid,@IcoBeast,1,1
@0xdiid,@Miguelpf,1,1
@0xdiid,@bonafidehan,1,1
@0xdiid,@josephdelong,1,1
@AGENTM,@JasonLevin,1,1
@AGENTM,@MikeThree,1,1
@AGENTM,@PoopVoid,1,1
@AGENTM,@kmoney,1,1
@Eli_schein,@alessio_joseph,1,1
@Eli_schein,@bryanbrinkman,1,1
@Eli_schein,@funghibull,1,1
@FredScharmen,@bonafidehan,1,1
@FredScharmen,@brooke,1,1
@FredScharmen,@farokh,1,1
@IcoBeast,@Miguelpf,1,1
@IcoBeast,@bonafidehan,1,1
@IcoBeast,@josephdelong,1,1
@JasonLevin,@MikeThree,1,1
@JasonLevin,@PoopVoid,1,1
@JasonLevin,@kmoney,1,1
@Miguelpf,@bonafidehan,1,1
@Miguelpf,@josephdelong,1,1
@MikeThree,@PoopVoid,1,1
@MikeThree,@kmoney,1,1
@Nowooski,@howdymerry,1,1
@PoopVoid,@kmoney,1,1
@PoopVoid,@ropirito,1,1
@WilliamLamkin,@deepfates,1,1
@WilliamLamkin,@quantize_d,1,1
@WilliamLamkin,@shweta_ai,1,1
@alessio_joseph,@bryanbrinkman,1,1
@alessio_joseph,@funghibull,1,1
@alexkehr,@kane,1,1
@alexkehr,@malone,1,1
@alexkehr,@mattparlmer,1,1
@beffjezos,@davidtphung,1,1
@beffjezos,@deepfates,1,1
@beffjezos,@drydenwtbrown,1,1
@beffjezos,@mountvillain,1,1
@bonafidehan,@brooke,1,1
@bonafidehan,@farokh,1,1
@bonafidehan,@josephdelong,1,1
@brooke,@farokh,1,1
@bryanbrinkman,@funghibull,1,1
@chrisparkX,@kache,1,1
@chrisparkX,@mjboswell,1,1
@chrisparkX,@nikitabier,1,1
@davidtphung,@deepfates,1,1
@davidtphung,@drydenwtbrown,1,1
@davidtphung,@mountvillain,1,1
@deepfates,@drydenwtbrown,1,1
@deepfates,@mountvillain,1,1
@deepfates,@quantize_d,1,1
@deepfates,@shweta_ai,1,1
@drydenwtbrown,@mountvillain,1,1
@kache,@mjboswell,1,1
@kache,@nikitabier,1,1
@kane,@malone,1,1
@kane,@mattparlmer,1,1
@malone,@mattparlmer,1,1
@mjboswell,@nikitabier,1,1
@quantize_d,@shweta_ai,1,1
